"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.JOHNSON","2009-2010","Regular","D","CGY/EDM",41,641.07,4,3,3,6,10,7,0.37,0.28,0.28,0.56,0.94,0.66,85,7.96,4.71,59,5.52,6.78,36,3.37,11.11,1.75,0.16,2.97,1,0.09,70,52,25,16,41,0,0,NA,16,7,-9,2,3,49.45
"2","AARON.ROME","2009-2010","Regular","D","VAN",49,742.71,0,1,3,4,4,1,0,0.08,0.24,0.32,0.32,0.08,118,9.53,0,70,5.65,0,49,3.96,0,2.13,0.17,3.04,4,0.32,58,78,16,6,49,0,0,NA,8,3,-5,3,1,50.27
"3","AARON.VOROS","2009-2010","Regular","L","NYR",41,251.77,3,4,0,4,7,7,0.71,0.95,0,0.95,1.67,1.67,37,8.82,8.11,28,6.67,10.71,22,5.24,13.64,1.92,0.46,6.85,7,1.67,56,45,0,2,11,3,3,50,25,5,-20,0,1,27.85
"4","AARON.WARD","2009-2010","Regular","D","ANA/CAR",76,1304.27,1,1,11,12,13,2,0.05,0.05,0.51,0.55,0.6,0.09,112,5.15,0.89,60,2.76,1.67,39,1.79,2.56,1.47,0.07,2.46,0,0,172,101,23,12,143,0,0,NA,29,7,-22,1,3,51.38
"5","ADAM.BURISH","2009-2010","Regular","R","CHI",13,114.01,1,2,1,3,4,3,0.53,1.05,0.53,1.58,2.11,1.58,19,10,5.26,16,8.42,6.25,9,4.74,11.11,0.99,0.52,6.16,4,2.11,9,12,2,2,9,7,14,33.33,3,2,-1,0,1,22.31
"6","ADAM.FOOTE","2009-2010","Regular","D","COL",67,1294.22,0,5,4,9,9,5,0,0.23,0.19,0.42,0.42,0.23,79,3.66,0,46,2.13,0,26,1.21,0,1.21,0.06,2.63,1,0.05,111,59,22,11,102,0,0,NA,24,10,-14,1,1,48.99
"7","ADAM.MAIR","2009-2010","Regular","C","BUF",69,637.44,6,4,4,8,14,10,0.56,0.38,0.38,0.75,1.32,0.94,104,9.79,5.77,86,8.09,6.98,67,6.31,8.96,5.68,0.53,6.6,23,2.16,95,49,18,11,13,93,85,52.25,24,9,-15,4,4,28.14
"8","ADAM.MCQUAID","2009-2010","Regular","D","BOS",19,202.85,1,0,0,0,1,1,0.3,0,0,0,0.3,0.3,26,7.69,3.85,19,5.62,5.26,10,2.96,10,0.28,0.08,1.45,0,0,29,32,5,2,17,0,0,NA,6,4,-2,0,2,59.3
"9","ADAM.PARDY","2009-2010","Regular","D","CGY",57,904.02,2,4,3,7,9,6,0.13,0.27,0.2,0.46,0.6,0.4,99,6.57,2.02,61,4.05,3.28,40,2.65,5,1.02,0.07,1.68,0,0,54,114,28,16,60,0,0,NA,22,11,-11,0,2,52.46
"10","ADRIAN.AUCOIN","2009-2010","Regular","D","ARI",82,1842.97,8,5,15,20,28,13,0.26,0.16,0.49,0.65,0.91,0.42,314,10.22,2.55,222,7.23,3.6,144,4.69,5.56,7.6,0.25,3.42,10,0.33,132,27,22,17,67,1,0,100,27,8,-19,3,8,48.14
