"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.EKBLAD","2014-2015","Regular","D","FLA",81,1760.28,12,10,17,27,39,22,0.41,0.34,0.58,0.92,1.33,0.75,351,11.96,3.42,238,8.11,5.04,170,5.79,7.06,9.54,0.33,4.01,15,0.51,109,136,41,26,80,0,0,NA,14,13,-1,7,10,44.24
"2","ADAM.BURISH","2014-2015","Regular","R","S.J",20,222.58,1,2,0,2,3,3,0.27,0.54,0,0.54,0.81,0.81,38,10.24,2.63,31,8.36,3.23,22,5.93,4.55,1.46,0.39,4.71,3,0.81,11,25,2,4,19,57,50,53.27,NA,4,NA,0,2,29.56
"3","ADAM.CLENDENING","2014-2015","Regular","D","CHI/VAN",21,348.59,1,1,2,3,4,2,0.17,0.17,0.34,0.52,0.69,0.34,49,8.43,2.04,30,5.16,3.33,17,2.93,5.88,0.97,0.17,3.23,0,0,9,37,14,2,22,0,0,NA,5,0,-5,0,1,45.34
"4","ADAM.CRACKNELL","2014-2015","Regular","R","CBJ",17,168.96,0,1,0,1,1,1,0,0.36,0,0.36,0.36,0.36,29,10.3,0,26,9.23,0,17,6.04,0,1.19,0.42,4.57,3,1.07,43,21,3,5,6,20,38,34.48,1,0,-1,0,0,29.09
"5","ADAM.HENRIQUE","2014-2015","Regular","C","N.J",75,1330.26,16,16,11,27,43,32,0.72,0.72,0.5,1.22,1.94,1.44,224,10.1,7.14,165,7.44,9.7,127,5.73,12.6,15.3,0.69,9.27,69,3.11,59,77,21,31,44,270,249,52.02,11,8,-3,2,9,21.97
"6","ADAM.LARSSON","2014-2015","Regular","D","N.J",64,1335.7,3,9,12,21,24,12,0.13,0.4,0.54,0.94,1.08,0.54,178,8,1.69,124,5.57,2.42,91,4.09,3.3,3.7,0.17,2.99,6,0.27,92,101,30,21,120,0,0,NA,17,5,-12,2,2,45.06
"7","ADAM.LOWRY","2014-2015","Regular","L","WPG",80,1099.69,11,9,3,12,23,20,0.6,0.49,0.16,0.65,1.25,1.09,184,10.04,5.98,145,7.91,7.59,104,5.67,10.58,12.9,0.7,8.89,53,2.89,256,131,14,25,32,402,449,47.24,16,15,-1,12,14,25.46
"8","ADAM.MCQUAID","2014-2015","Regular","D","BOS",63,1158.26,1,2,4,6,7,3,0.05,0.1,0.21,0.31,0.36,0.16,135,6.99,0.74,86,4.45,1.16,60,3.11,1.67,1.89,0.1,2.2,1,0.05,141,132,22,7,91,0,1,0,28,9,-19,0,5,51.42
"9","ADAM.PARDY","2014-2015","Regular","D","WPG",55,822.15,0,5,4,9,9,5,0,0.36,0.29,0.66,0.66,0.36,79,5.77,0,41,2.99,0,29,2.12,0,1.42,0.1,3.47,3,0.22,74,103,35,10,59,0,0,NA,15,11,-4,0,3,43.61
"10","ALEC.MARTINEZ","2014-2015","Regular","D","L.A",56,1115.12,6,9,7,16,22,15,0.32,0.48,0.38,0.86,1.18,0.81,232,12.48,2.59,151,8.12,3.97,103,5.54,5.83,4.99,0.27,3.3,8,0.43,95,102,38,11,117,0,0,NA,5,8,3,4,8,46.37
"11","ALEKSANDER.BARKOV","2014-2015","Regular","C","FLA",71,1241.37,16,9,11,20,36,25,0.77,0.44,0.53,0.97,1.74,1.21,199,9.62,8.04,159,7.69,10.06,123,5.95,13.01,11.83,0.57,7.44,47,2.27,35,133,27,42,35,462,540,46.11,7,9,2,6,12,24.71
"12","ALES.HEMSKY","2014-2015","Regular","R","DAL",76,1035.75,11,8,13,21,32,19,0.64,0.46,0.75,1.22,1.85,1.1,255,14.77,4.31,179,10.37,6.15,140,8.11,7.86,11.1,0.64,6.2,31,1.8,22,99,37,30,35,0,0,NA,10,14,4,4,7,30.08
"13","ALEX.BIEGA","2014-2015","Regular","D","VAN",7,110.65,1,0,0,0,1,1,0.54,0,0,0,0.54,0.54,19,10.3,5.26,14,7.59,7.14,7,3.8,14.29,0.42,0.23,3.02,0,0,34,7,3,1,8,0,0,NA,0,0,0,0,1,47.05
"14","ALEX.BURROWS","2014-2015","Regular","L","VAN",70,1079.72,18,9,6,15,33,27,1,0.5,0.33,0.83,1.83,1.5,236,13.11,7.63,199,11.06,9.05,145,8.06,12.41,16.34,0.91,8.21,67,3.72,73,82,24,33,33,6,8,42.86,24,17,-7,10,10,24.45
"15","ALEX.CHIASSON","2014-2015","Regular","R","OTT",76,1016.04,11,9,6,15,26,20,0.65,0.53,0.35,0.89,1.54,1.18,175,10.33,6.29,141,8.33,7.8,105,6.2,10.48,13.38,0.79,9.49,57,3.37,93,130,9,22,20,3,18,14.29,24,7,-17,12,7,22.58
"16","ALEX.EDLER","2014-2015","Regular","D","VAN",74,1762.97,8,8,15,23,31,16,0.27,0.27,0.51,0.78,1.06,0.54,364,12.39,2.2,239,8.13,3.35,175,5.96,4.57,8.59,0.29,3.59,14,0.48,94,164,72,24,126,0,1,0,28,10,-18,7,9,46.38
"17","ALEXEI.EMELIN","2014-2015","Regular","D","MTL",68,1345.36,3,3,8,11,14,6,0.13,0.13,0.36,0.49,0.62,0.27,120,5.35,2.5,70,3.12,4.29,43,1.92,6.98,1.51,0.07,2.16,1,0.04,204,140,56,16,116,0,0,NA,23,10,-13,1,8,52.14
