"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"613","RYAN.ELLIS","2012-2013","Regular","D","NSH",32,523.1,2,3,1,4,6,5,0.23,0.34,0.11,0.46,0.69,0.57,82,9.41,2.44,60,6.88,3.33,48,5.51,4.17,2.35,0.27,3.92,3,0.34,22,53,12,8,29,0,0,NA,6,9,3,2,4,41.82
"614","RYAN.GARBUTT","2012-2013","Regular","C","DAL",36,357.19,3,4,3,7,10,7,0.5,0.67,0.5,1.18,1.68,1.18,103,17.3,2.91,74,12.43,4.05,59,9.91,5.08,5.01,0.84,6.77,16,2.69,67,43,3,11,9,7,10,41.18,13,5,-8,3,4,24.63
"615","RYAN.GETZLAF","2012-2013","Regular","C","ANA",44,881.74,15,25,9,34,49,40,1.02,1.7,0.61,2.31,3.33,2.72,180,12.25,8.33,140,9.53,10.71,99,6.74,15.15,8.52,0.58,6.08,26,1.77,89,53,31,27,42,355,384,48.04,12,7,-5,8,9,31.24
"616","RYAN.HAMILTON","2012-2013","Regular","L","TOR",10,108.56,0,2,0,2,2,2,0,1.11,0,1.11,1.11,1.11,10,5.53,0,8,4.42,0,6,3.32,0,1,0.55,12.54,3,1.66,22,20,1,1,7,4,14,22.22,0,1,1,2,2,25.33
"617","RYAN.JOHANSEN","2012-2013","Regular","C","CBJ",40,642.67,5,5,2,7,12,10,0.47,0.47,0.19,0.65,1.12,0.93,118,11.02,4.24,103,9.62,4.85,84,7.84,5.95,8.59,0.8,8.34,35,3.27,42,30,6,15,14,272,257,51.42,8,7,-1,1,9,22.15
"618","RYAN.JONES","2012-2013","Regular","L","EDM",27,350.08,2,3,2,5,7,5,0.34,0.51,0.34,0.86,1.2,0.86,63,10.8,3.17,50,8.57,4,38,6.51,5.26,3.98,0.68,7.96,15,2.57,55,31,12,10,13,2,7,22.22,6,4,-2,4,3,24.59
"619","RYAN.KESLER","2012-2013","Regular","C","VAN",17,320.75,4,5,4,9,13,9,0.75,0.94,0.75,1.68,2.43,1.68,86,16.09,4.65,62,11.6,6.45,36,6.73,11.11,4.02,0.75,6.48,12,2.24,30,22,12,9,13,174,129,57.43,6,7,1,6,1,31.33
"620","RYAN.MALONE","2012-2013","Regular","L","T.B",24,374.71,6,0,2,2,8,6,0.96,0,0.32,0.32,1.28,0.96,55,8.81,10.91,48,7.69,12.5,37,5.92,16.22,3.77,0.6,7.85,12,1.92,49,24,7,14,9,9,14,39.13,10,6,-4,6,2,29.94
"621","RYAN.MCDONAGH","2012-2013","Regular","D","NYR",47,1136.2,4,8,7,15,19,12,0.21,0.42,0.37,0.79,1,0.63,181,9.56,2.21,117,6.18,3.42,83,4.38,4.82,4.82,0.25,4.12,11,0.58,69,66,26,27,78,0,1,0,11,9,-2,4,9,41.1
"622","RYAN.MURPHY","2012-2013","Regular","D","CAR",4,83.87,0,0,0,0,0,0,0,0,0,0,0,0,15,10.73,0,10,7.15,0,7,5.01,0,0.3,0.21,2.95,0,0,2,2,0,1,9,0,0,NA,1,0,-1,0,0,43.29
"623","RYAN.NUGENT-HOPKINS","2012-2013","Regular","C","EDM",40,754.07,4,11,9,20,24,15,0.32,0.88,0.72,1.59,1.91,1.19,150,11.94,2.67,116,9.23,3.45,78,6.21,5.13,8.96,0.71,7.72,37,2.94,27,40,11,22,27,226,325,41.02,4,11,7,2,5,25.42
"624","RYAN.O'BYRNE","2012-2013","Regular","D","COL/TOR",42,776.86,2,1,3,4,6,3,0.15,0.08,0.23,0.31,0.46,0.23,72,5.56,2.78,48,3.71,4.17,26,2.01,7.69,1.28,0.1,2.68,3,0.23,104,55,20,10,69,0,0,NA,20,3,-17,1,4,49.51
"625","RYAN.O'REILLY","2012-2013","Regular","C","COL",29,532.63,6,6,8,14,20,12,0.68,0.68,0.9,1.58,2.25,1.35,118,13.29,5.08,88,9.91,6.82,66,7.43,9.09,5.22,0.59,5.93,11,1.24,7,15,10,34,14,241,215,52.85,2,7,5,4,3,33
"626","RYAN.REAVES","2012-2013","Regular","R","STL",43,319.44,4,1,1,2,6,5,0.75,0.19,0.19,0.38,1.13,0.94,34,6.39,11.76,28,5.26,14.29,24,4.51,16.67,3.26,0.61,11.63,13,2.44,135,32,5,9,7,3,0,100,18,4,-14,4,4,23.84
"627","RYAN.SMYTH","2012-2013","Regular","L","EDM",47,719.6,2,9,2,11,13,11,0.17,0.75,0.17,0.92,1.08,0.92,113,9.42,1.77,96,8,2.08,69,5.75,2.9,6.81,0.57,7.1,20,1.67,41,49,26,15,24,87,115,43.07,15,10,-5,6,6,26.44
"628","RYAN.SUTER","2012-2013","Regular","D","MIN",48,1298.29,4,9,19,28,32,13,0.18,0.42,0.88,1.29,1.48,0.6,193,8.92,2.07,122,5.64,3.28,91,4.21,4.4,4.2,0.19,3.44,6,0.28,33,37,19,9,74,0,0,NA,12,4,-8,2,5,46.68
"629","RYAN.WHITE","2012-2013","Regular","C","MTL",26,244.72,1,0,0,0,1,1,0.25,0,0,0,0.25,0.25,40,9.81,2.5,30,7.36,3.33,16,3.92,6.25,1.46,0.36,4.85,6,1.47,50,38,6,7,15,91,76,54.49,12,6,-6,0,3,32.82
"630","RYAN.WHITNEY","2012-2013","Regular","D","EDM",34,623.72,4,2,7,9,13,6,0.38,0.19,0.67,0.87,1.25,0.58,57,5.48,7.02,34,3.27,11.76,30,2.89,13.33,1.25,0.12,3.67,2,0.19,16,34,35,9,55,0,0,NA,10,3,-7,1,1,43.17
"631","RYAN.WILSON","2012-2013","Regular","D","COL",12,221.96,0,0,3,3,3,0,0,0,0.81,0.81,0.81,0,46,12.43,0,33,8.92,0,23,6.22,0,0.82,0.22,2.48,1,0.27,17,14,6,5,12,0,0,NA,4,0,-4,0,2,46.08
"632","SAKU.KOIVU","2012-2013","Regular","C","ANA",47,827.16,8,10,9,19,27,18,0.58,0.73,0.65,1.38,1.96,1.31,108,7.83,7.41,78,5.66,10.26,55,3.99,14.55,7.96,0.58,10.2,31,2.25,31,31,21,14,15,437,414,51.35,9,8,-1,5,7,20.17
"633","SAM.GAGNER","2012-2013","Regular","C","EDM",48,931.59,14,11,13,24,38,25,0.9,0.71,0.84,1.55,2.45,1.61,193,12.43,7.25,148,9.53,9.46,113,7.28,12.39,10.27,0.66,6.94,37,2.38,35,57,26,23,22,325,416,43.86,10,10,0,7,6,28.43
"634","SAMI.SALO","2012-2013","Regular","D","T.B",46,961.41,2,4,11,15,17,6,0.12,0.25,0.69,0.94,1.06,0.37,99,6.18,2.02,65,4.06,3.08,48,3,4.17,2.01,0.13,3.1,2,0.12,40,43,16,13,65,0,0,NA,8,0,-8,0,4,49.78
"635","SAMI.VATANEN","2012-2013","Regular","D","ANA",8,125.54,2,0,0,0,2,2,0.96,0,0,0,0.96,0.96,12,5.74,16.67,7,3.35,28.57,6,2.87,33.33,0.28,0.13,4,0,0,2,8,1,2,13,0,0,NA,0,0,0,1,0,48.98
"636","SCOTT.GOMEZ","2012-2013","Regular","C","S.J",39,527.31,2,5,8,13,15,7,0.23,0.57,0.91,1.48,1.71,0.8,100,11.38,2,82,9.33,2.44,58,6.6,3.45,6,0.68,7.31,22,2.5,4,26,21,20,11,181,143,55.86,6,4,-2,6,2,27.22
"637","SCOTT.HANNAN","2012-2013","Regular","D","NSH/S.J",33,634.65,0,1,0,1,1,1,0,0.09,0,0.09,0.09,0.09,53,5.01,0,33,3.12,0,25,2.36,0,1.04,0.1,3.15,1,0.09,35,42,10,9,54,0,0,NA,8,3,-5,1,2,40.36
"638","SCOTT.HARTNELL","2012-2013","Regular","L","PHI",32,504.6,8,3,0,3,11,11,0.95,0.36,0,0.36,1.31,1.31,128,15.22,6.25,109,12.96,7.34,74,8.8,10.81,9.41,1.12,8.63,38,4.52,68,45,21,11,21,3,1,75,23,12,-11,7,5,24.95
"639","SCOTTIE.UPSHALL","2012-2013","Regular","R","FLA",27,363.88,4,1,0,1,5,5,0.66,0.16,0,0.16,0.82,0.82,84,13.85,4.76,73,12.04,5.48,54,8.9,7.41,5.67,0.93,7.76,22,3.63,38,44,8,13,6,9,5,64.29,8,8,0,5,3,30.13
"640","SCOTT.LAUGHTON","2012-2013","Regular","L","PHI",5,57.62,0,0,0,0,0,0,0,0,0,0,0,0,15,15.62,0,10,10.41,0,10,10.41,0,0.52,0.54,5.23,1,1.04,10,6,0,0,1,19,24,44.19,1,1,0,0,1,35.67
"641","SCOTT.NICHOL","2012-2013","Regular","C","STL",30,292.97,1,0,0,0,1,1,0.2,0,0,0,0.2,0.2,22,4.51,4.55,17,3.48,5.88,13,2.66,7.69,0.94,0.19,5.54,2,0.41,27,15,1,6,13,132,86,60.55,5,4,-1,0,2,25.59
"642","SCOTT.TIMMINS","2012-2013","Regular","C","FLA",5,52.91,0,0,0,0,0,0,0,0,0,0,0,0,10,11.34,0,8,9.07,0,6,6.8,0,0.61,0.69,7.56,2,2.27,6,4,3,1,5,15,16,48.39,2,0,-2,0,1,26.37
"643","SEAN.COLLINS","2012-2013","Regular","D","CBJ",5,62.94,0,0,0,0,0,0,0,0,0,0,0,0,4,3.81,0,3,2.86,0,0,0,NA,0.14,0.13,4.58,1,0.95,3,6,0,0,5,1,4,20,3,2,-1,0,0,39.9
"644","SEAN.COUTURIER","2012-2013","Regular","C","PHI",46,729.97,4,6,5,11,15,10,0.33,0.49,0.41,0.9,1.23,0.82,122,10.03,3.28,97,7.97,4.12,75,6.16,5.33,6.24,0.51,6.43,19,1.56,31,36,19,26,27,243,310,43.94,5,4,-1,7,7,28.85
"645","SERGEI.GONCHAR","2012-2013","Regular","D","OTT",45,1077.33,3,9,15,24,27,12,0.17,0.5,0.84,1.34,1.5,0.67,191,10.64,1.57,120,6.68,2.5,85,4.73,3.53,4.21,0.23,3.51,5,0.28,25,66,28,10,65,0,0,NA,13,1,-12,0,5,47.12
"646","SERGEI.KOSTITSYN","2012-2013","Regular","L","NSH",46,766.05,3,7,5,12,15,10,0.23,0.55,0.39,0.94,1.17,0.78,107,8.38,2.8,70,5.48,4.29,42,3.29,7.14,5.26,0.41,7.51,21,1.64,27,38,20,15,25,3,1,75,5,7,2,1,9,25.36
"647","SHANE.DOAN","2012-2013","Regular","R","ARI",48,862.81,13,7,7,14,27,20,0.9,0.49,0.49,0.97,1.88,1.39,220,15.3,5.91,167,11.61,7.78,129,8.97,10.08,12.2,0.85,7.31,37,2.57,118,57,20,23,10,4,11,26.67,16,10,-6,12,10,27.82
"648","SHANE.O'BRIEN","2012-2013","Regular","D","COL",28,433.59,0,2,2,4,4,2,0,0.28,0.28,0.55,0.55,0.28,66,9.13,0,40,5.54,0,28,3.87,0,1.45,0.2,3.63,2,0.28,42,25,11,9,36,0,0,NA,14,4,-10,2,1,44.73
"649","SHAWN.HORCOFF","2012-2013","Regular","C","EDM",31,521.23,7,1,4,5,12,8,0.81,0.12,0.46,0.58,1.38,0.92,60,6.91,11.67,51,5.87,13.73,41,4.72,17.07,4.77,0.55,9.36,23,2.65,24,10,19,6,20,245,255,49,12,6,-6,3,2,24.51
