"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.JOHNSON","2008-2009","Regular","D","CHI",38,534.78,3,1,4,5,8,4,0.34,0.11,0.45,0.56,0.9,0.45,57,6.4,5.26,43,4.82,6.98,27,3.03,11.11,1.29,0.14,2.99,3,0.34,40,39,9,8,34,0,0,NA,16,3,-13,1,1,50.67
"2","AARON.MACKENZIE","2008-2009","Regular","D","COL",5,73.2,0,0,0,0,0,0,0,0,0,0,0,0,8,6.56,0,5,4.1,0,3,2.46,0,0.3,0.25,5.99,0,0,6,8,0,1,8,0,0,NA,0,0,0,0,0,15.7
"3","AARON.ROME","2008-2009","Regular","D","CBJ",8,123.79,0,1,0,1,1,1,0,0.48,0,0.48,0.48,0.48,16,7.76,0,11,5.33,0,7,3.39,0,0.18,0.09,1.66,0,0,12,12,2,2,8,0,0,NA,0,0,0,0,1,57.09
"4","AARON.VOROS","2008-2009","Regular","L","NYR",54,602.06,8,6,2,8,16,14,0.8,0.6,0.2,0.8,1.59,1.4,108,10.76,7.41,94,9.37,8.51,66,6.58,12.12,8.68,0.87,9.23,39,3.89,113,83,11,6,8,4,6,40,36,17,-19,5,5,21.17
"5","AARON.WARD","2008-2009","Regular","D","BOS",64,1211.75,3,2,4,6,9,5,0.15,0.1,0.2,0.3,0.45,0.25,123,6.09,2.44,82,4.06,3.66,52,2.57,5.77,2.05,0.1,2.49,2,0.1,148,87,21,5,120,0,0,NA,20,4,-16,1,5,52.23
"6","ADAM.BURISH","2008-2009","Regular","R","CHI",66,608.36,6,2,1,3,9,8,0.59,0.2,0.1,0.3,0.89,0.79,105,10.36,5.71,96,9.47,6.25,83,8.19,7.23,7.84,0.77,8.17,29,2.86,46,78,1,11,37,49,75,39.52,16,14,-2,4,6,24.52
"7","ADAM.FOOTE","2008-2009","Regular","D","COL",42,822.36,1,1,5,6,7,2,0.07,0.07,0.36,0.44,0.51,0.15,43,3.14,2.33,29,2.12,3.45,19,1.39,5.26,0.94,0.07,3.25,3,0.22,54,42,28,17,77,0,0,NA,15,2,-13,2,1,50.72
"8","ADAM.HALL","2008-2009","Regular","R","T.B",74,827.58,5,3,2,5,10,8,0.36,0.22,0.15,0.36,0.73,0.58,143,10.37,3.5,118,8.56,4.24,90,6.53,5.56,8.07,0.59,6.84,27,1.96,85,68,6,18,37,169,169,50,10,20,10,6,5,30.53
"9","ADAM.MAIR","2008-2009","Regular","C","BUF",75,790.05,8,6,5,11,19,14,0.61,0.46,0.38,0.84,1.44,1.06,132,10.02,6.06,110,8.35,7.27,75,5.7,10.67,8.25,0.63,7.5,28,2.13,107,69,22,19,20,200,214,48.31,30,9,-21,9,6,29.53
"10","ADAM.PARDY","2008-2009","Regular","D","CGY",59,888.58,1,3,6,9,10,4,0.07,0.2,0.41,0.61,0.68,0.27,92,6.21,1.09,61,4.12,1.64,36,2.43,2.78,1.43,0.1,2.35,1,0.07,76,116,26,19,44,0,0,NA,26,10,-16,0,1,50.37
"11","ADRIAN.AUCOIN","2008-2009","Regular","D","CGY",80,1767.45,10,8,15,23,33,18,0.34,0.27,0.51,0.78,1.12,0.61,293,9.95,3.41,196,6.65,5.1,126,4.28,7.94,6.29,0.21,3.21,13,0.44,61,25,29,28,55,0,0,NA,21,6,-15,3,5,51.75
"12","ALES.HEMSKY","2008-2009","Regular","R","EDM",72,1331.85,23,24,19,43,66,47,1.04,1.08,0.86,1.94,2.97,2.12,333,15,6.91,231,10.41,9.96,185,8.33,12.43,16.95,0.76,7.34,69,3.11,16,120,76,38,35,0,4,0,16,34,18,5,9,30.64
"13","ALES.KOTALIK","2008-2009","Regular","R","BUF/EDM",75,1153.55,20,9,14,23,43,29,1.04,0.47,0.73,1.2,2.24,1.51,354,18.41,5.65,269,13.99,7.43,208,10.82,9.62,14.1,0.73,5.24,48,2.5,121,74,29,25,22,36,49,42.35,16,10,-6,5,17,38.64
"14","ALEX.BOLDUC","2008-2009","Regular","C","VAN",7,51.32,0,0,1,1,1,0,0,0,1.17,1.17,1.17,0,9,10.52,0,8,9.35,0,7,8.18,0,0.53,0.62,6.59,1,1.17,4,4,3,2,0,5,8,38.46,2,0,-2,1,0,28.77
"15","ALEX.BURROWS","2008-2009","Regular","L","VAN",81,1359.82,27,13,10,23,50,40,1.19,0.57,0.44,1.01,2.21,1.76,284,12.53,9.51,234,10.32,11.54,172,7.59,15.7,19.13,0.84,8.18,79,3.49,67,94,26,63,38,37,43,46.25,43,40,-3,16,25,28.99
"16","ALEX.EDLER","2008-2009","Regular","D","VAN",79,1668.55,10,10,16,26,36,20,0.36,0.36,0.58,0.93,1.29,0.72,333,11.97,3,213,7.66,4.69,142,5.11,7.04,8.44,0.3,3.96,21,0.76,101,138,65,29,93,1,0,100,26,12,-14,7,10,51.13
"17","ALEXEI.PONIKAROVSKY","2008-2009","Regular","L","TOR",81,1276.35,23,22,16,38,61,45,1.08,1.03,0.75,1.79,2.87,2.12,326,15.32,7.06,262,12.32,8.78,183,8.6,12.57,20.14,0.95,7.69,83,3.9,104,95,31,34,53,6,5,54.55,18,13,-5,15,20,29.75
"18","ALEXEI.SEMENOV","2008-2009","Regular","D","S.J",47,612.3,1,2,5,7,8,3,0.1,0.2,0.49,0.69,0.78,0.29,68,6.66,1.47,44,4.31,2.27,28,2.74,3.57,1.17,0.11,2.66,1,0.1,53,49,19,10,30,0,1,0,24,10,-14,0,0,50.67
"19","ALEX.FROLOV","2008-2009","Regular","L","L.A",77,1527.37,32,13,14,27,59,45,1.26,0.51,0.55,1.06,2.32,1.77,318,12.49,10.06,263,10.33,12.17,176,6.91,18.18,25.22,0.99,9.59,97,3.81,49,85,71,54,20,5,6,45.45,16,19,3,24,16,27.53
"20","ALEX.GIROUX","2008-2009","Regular","L","WSH",12,126.84,1,1,0,1,2,2,0.47,0.47,0,0.47,0.95,0.95,38,17.98,2.63,30,14.19,3.33,20,9.46,5,3.15,1.49,10.51,15,7.1,22,18,3,6,2,0,1,0,5,0,-5,1,3,26.62
"21","ALEX.GOLIGOSKI","2008-2009","Regular","D","PIT",45,817.83,6,8,6,14,20,14,0.44,0.59,0.44,1.03,1.47,1.03,138,10.12,4.35,86,6.31,6.98,61,4.48,9.84,3.48,0.26,4.05,7,0.51,30,30,24,9,49,0,0,NA,6,8,2,3,2,45.38
"22","ALEX.KOVALEV","2008-2009","Regular","R","MTL",78,1502.37,26,20,19,39,65,46,1.04,0.8,0.76,1.56,2.6,1.84,396,15.82,6.57,295,11.78,8.81,209,8.35,12.44,23.67,0.95,8.02,89,3.55,56,127,64,44,20,16,34,32,36,32,-4,13,31,27.19
"23","ALEX.OVECHKIN","2008-2009","Regular","L","WSH",79,1803.43,56,32,22,54,110,88,1.86,1.06,0.73,1.8,3.66,2.93,1027,34.17,5.45,748,24.89,7.49,528,17.57,10.61,49.69,1.65,6.64,170,5.66,243,154,107,60,32,8,24,25,38,37,-1,27,48,35.16
