"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.DOWNEY","2007-2008","Regular","R","DET",56,256.94,0,3,0,3,3,3,0,0.7,0,0.7,0.7,0.7,22,5.14,0,19,4.44,0,15,3.5,0,1.49,0.35,7.83,5,1.17,79,48,4,3,6,0,0,NA,31,16,-15,1,1,33.03
"2","AARON.JOHNSON","2007-2008","Regular","D","NYI",30,414.85,0,0,2,2,2,0,0,0,0.29,0.29,0.29,0,46,6.65,0,22,3.18,0,16,2.31,0,0.64,0.09,2.9,1,0.14,40,38,16,18,28,0,0,NA,15,4,-11,0,0,45.26
"3","AARON.MILLER","2007-2008","Regular","D","VAN",57,985.54,1,1,7,8,9,2,0.06,0.06,0.43,0.49,0.55,0.12,68,4.14,1.47,45,2.74,2.22,27,1.64,3.7,1.01,0.06,2.23,1,0.06,37,74,29,15,80,0,0,NA,11,4,-7,1,0,54.49
"4","AARON.ROME","2007-2008","Regular","D","CBJ",17,309.09,1,0,1,1,2,1,0.19,0,0.19,0.19,0.39,0.19,33,6.41,3.03,24,4.66,4.17,15,2.91,6.67,0.52,0.1,2.16,1,0.19,33,22,4,2,17,0,0,NA,6,1,-5,0,0,54.98
"5","AARON.VOROS","2007-2008","Regular","L","MIN",55,502.62,7,6,1,7,14,13,0.84,0.72,0.12,0.84,1.67,1.55,88,10.5,7.95,71,8.48,9.86,52,6.21,13.46,7,0.84,9.86,32,3.82,NA,NA,10,8,5,3,12,20,37,20,-17,3,5,24.7
"6","AARON.WARD","2007-2008","Regular","D","BOS",65,1336.69,5,2,6,8,13,7,0.22,0.09,0.27,0.36,0.58,0.31,146,6.55,3.42,105,4.71,4.76,68,3.05,7.35,2.64,0.12,2.52,3,0.13,141,81,18,5,119,0,0,NA,NA,8,NA,3,6,55.43
"7","ADAM.BURISH","2007-2008","Regular","R","CHI",80,938.04,4,3,1,4,8,7,0.26,0.19,0.06,0.26,0.51,0.45,88,5.63,4.55,77,4.93,5.19,66,4.22,6.06,5.53,0.35,7.18,24,1.54,87,85,7,11,63,111,152,42.21,38,23,-15,1,1,26.38
"8","ADAM.FOOTE","2007-2008","Regular","D","CBJ/COL",75,1740.73,1,3,11,14,15,4,0.03,0.1,0.38,0.48,0.52,0.14,138,4.76,0.72,95,3.27,1.05,65,2.24,1.54,2.32,0.08,2.44,2,0.07,93,72,18,17,148,0,0,NA,36,16,-20,1,4,52.8
"9","ADAM.HALL","2007-2008","Regular","R","PIT",46,543.92,2,1,3,4,6,3,0.22,0.11,0.33,0.44,0.66,0.33,60,6.62,3.33,55,6.07,3.64,39,4.3,5.13,2.88,0.32,5.23,9,0.99,45,28,2,7,30,141,143,49.65,9,9,0,3,1,31.12
"10","ADAM.MAIR","2007-2008","Regular","C","BUF",72,634.24,5,6,6,12,17,11,0.47,0.57,0.57,1.14,1.61,1.04,99,9.37,5.05,79,7.47,6.33,61,5.77,8.2,5.66,0.54,7.16,21,1.99,112,53,16,13,15,162,194,45.51,24,8,-16,5,3,27.13
"11","ADRIAN.AUCOIN","2007-2008","Regular","D","CGY",76,1584.41,10,11,14,25,35,21,0.38,0.42,0.53,0.95,1.33,0.8,294,11.13,3.4,195,7.38,5.13,121,4.58,8.26,8.29,0.31,4.25,17,0.64,69,19,35,35,55,0,0,NA,17,15,-2,8,13,50.75
"12","ALAIN.NASREDDINE","2007-2008","Regular","D","PIT",6,77.27,0,0,0,0,0,0,0,0,0,0,0,0,6,4.66,0,4,3.11,0,3,2.33,0,0.09,0.07,2.18,0,0,5,5,1,0,4,0,0,NA,2,1,-1,0,0,49.16
"13","ALES.HEMSKY","2007-2008","Regular","R","EDM",74,1361.02,20,36,15,51,71,56,0.88,1.59,0.66,2.25,3.13,2.47,339,14.94,5.9,247,10.89,8.1,184,8.11,10.87,16.37,0.72,6.63,51,2.25,24,120,64,42,29,1,4,20,19,34,15,10,13,30.52
"14","ALES.KOTALIK","2007-2008","Regular","R","BUF",79,1197.61,23,7,13,20,43,30,1.15,0.35,0.65,1,2.15,1.5,331,16.58,6.95,265,13.28,8.68,206,10.32,11.17,14.53,0.73,5.48,38,1.9,136,69,32,13,18,98,122,44.55,26,11,-15,13,8,39.24
"15","ALEX.BURROWS","2007-2008","Regular","L","VAN",82,1235.17,12,13,6,19,31,25,0.58,0.63,0.29,0.92,1.51,1.21,216,10.49,5.56,177,8.6,6.78,126,6.12,9.52,11.27,0.55,6.37,40,1.94,80,82,31,50,45,13,24,35.14,41,48,7,9,14,30.87
"16","ALEX.EDLER","2007-2008","Regular","D","VAN",75,1594.09,8,6,7,13,21,14,0.3,0.23,0.26,0.49,0.79,0.53,253,9.52,3.16,180,6.78,4.44,124,4.67,6.45,5.52,0.21,3.07,8,0.3,58,122,42,23,76,1,0,100,21,8,-13,4,7,52.25
