"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.GAGNON","2010-2011","Regular","C","DAL",19,153.22,0,0,2,2,2,0,0,0,0.78,0.78,0.78,0,26,10.18,0,19,7.44,0,9,3.52,0,0.89,0.35,4.66,2,0.78,12,11,0,4,5,30,25,54.55,1,0,-1,0,1,32.82
"2","AARON.ROME","2010-2011","Regular","D","VAN",56,971.93,1,3,1,4,5,4,0.06,0.19,0.06,0.25,0.31,0.25,109,6.73,0.92,74,4.57,1.35,50,3.09,2,2.05,0.13,2.77,2,0.12,78,105,21,13,59,0,0,NA,17,5,-12,0,6,50.55
"3","AARON.VOLPATTI","2010-2011","Regular","L","VAN",15,102.4,1,1,0,1,2,2,0.59,0.59,0,0.59,1.17,1.17,12,7.03,8.33,8,4.69,12.5,6,3.52,16.67,0.5,0.29,6.23,2,1.17,36,18,0,0,3,0,0,NA,5,3,-2,0,0,31.46
"4","AARON.VOROS","2010-2011","Regular","L","ANA",12,66.54,0,0,0,0,0,0,0,0,0,0,0,0,10,9.02,0,9,8.12,0,8,7.21,0,0.82,0.74,9.11,3,2.71,12,16,0,1,1,2,1,66.67,9,8,-1,1,0,26.52
"5","ADAM.BURISH","2010-2011","Regular","R","DAL",63,904.38,8,3,3,6,14,11,0.53,0.2,0.2,0.4,0.93,0.73,142,9.42,5.63,121,8.03,6.61,89,5.9,8.99,7.99,0.53,6.6,27,1.79,77,106,13,14,70,255,222,53.46,20,13,-7,4,6,29.66
"6","ADAM.CRACKNELL","2010-2011","Regular","R","STL",24,214.17,3,3,1,4,7,6,0.84,0.84,0.28,1.12,1.96,1.68,47,13.17,6.38,38,10.65,7.89,26,7.28,11.54,2.12,0.59,5.58,6,1.68,29,20,1,8,7,46,72,38.98,4,2,-2,0,4,31.81
"7","ADAM.FOOTE","2010-2011","Regular","D","COL",47,838.43,0,3,5,8,8,3,0,0.21,0.36,0.57,0.57,0.21,41,2.93,0,29,2.08,0,23,1.65,0,1.04,0.07,3.57,4,0.29,55,35,15,4,67,0,0,NA,14,6,-8,2,0,45.67
"8","ADAM.HALL","2010-2011","Regular","R","T.B",82,1215.34,7,7,4,11,18,14,0.35,0.35,0.2,0.54,0.89,0.69,248,12.24,2.82,220,10.86,3.18,167,8.24,4.19,15.49,0.76,7.04,50,2.47,152,112,18,22,59,360,294,55.05,13,23,10,10,19,26.38
"9","ADAM.MAIR","2010-2011","Regular","C","N.J",65,590.46,1,2,1,3,4,3,0.1,0.2,0.1,0.3,0.41,0.3,90,9.15,1.11,77,7.82,1.3,58,5.89,1.72,5.09,0.52,6.62,21,2.13,63,45,10,13,16,57,55,50.89,16,8,-8,1,7,28.38
"10","ADAM.MCQUAID","2010-2011","Regular","D","BOS",67,993.92,3,6,6,12,15,9,0.18,0.36,0.36,0.72,0.91,0.54,123,7.43,2.44,62,3.74,4.84,46,2.78,6.52,1.6,0.1,2.58,3,0.18,102,97,15,5,131,0,0,NA,23,14,-9,0,2,52.1
"11","ADAM.PARDY","2010-2011","Regular","D","CGY",30,440.59,1,4,2,6,7,5,0.14,0.54,0.27,0.82,0.95,0.68,81,11.03,1.23,48,6.54,2.08,36,4.9,2.78,1.42,0.19,2.95,3,0.41,42,69,16,8,44,0,0,NA,12,4,-8,0,1,46.21
"12","ADRIAN.AUCOIN","2010-2011","Regular","D","ARI",75,1615.15,3,11,8,19,22,14,0.11,0.41,0.3,0.71,0.82,0.52,233,8.66,1.29,152,5.65,1.97,99,3.68,3.03,4.11,0.15,2.71,3,0.11,134,24,22,26,75,1,0,100,26,8,-18,2,8,49.82
"13","ALEC.MARTINEZ","2010-2011","Regular","D","L.A",60,916.67,5,4,7,11,16,9,0.33,0.26,0.46,0.72,1.05,0.59,190,12.44,2.63,112,7.33,4.46,74,4.84,6.76,3.72,0.24,3.32,7,0.46,69,146,22,4,73,0,0,NA,9,1,-8,5,4,50.93
"14","ALES.HEMSKY","2010-2011","Regular","R","EDM",47,855.11,14,21,7,28,42,35,0.98,1.47,0.49,1.96,2.95,2.46,183,12.84,7.65,137,9.61,10.22,100,7.02,14,10.46,0.73,7.64,39,2.74,29,82,32,17,18,1,6,14.29,9,12,3,5,8,27.37
"15","ALES.KOTALIK","2010-2011","Regular","R","CGY",26,321.96,4,1,1,2,6,5,0.75,0.19,0.19,0.37,1.12,0.93,103,19.19,3.88,86,16.03,4.65,62,11.55,6.45,4.13,0.77,4.8,11,2.05,38,19,10,7,4,6,5,54.55,4,3,-1,1,6,36.52
"16","ALEX.BOLDUC","2010-2011","Regular","C","VAN",24,178.39,2,2,0,2,4,4,0.67,0.67,0,0.67,1.35,1.35,29,9.75,6.9,26,8.74,7.69,21,7.06,9.52,1.67,0.56,6.42,8,2.69,29,21,2,4,14,44,53,45.36,4,6,2,1,2,27.27
"17","ALEX.BURMISTROV","2010-2011","Regular","C","ATL",74,976.97,6,5,9,14,20,11,0.37,0.31,0.55,0.86,1.23,0.68,167,10.26,3.59,126,7.74,4.76,92,5.65,6.52,8.16,0.5,6.47,30,1.84,62,62,34,48,22,289,407,41.52,12,24,12,4,9,28.46
"18","ALEX.BURROWS","2010-2011","Regular","L","VAN",72,1221.85,26,6,16,22,48,32,1.28,0.29,0.79,1.08,2.36,1.57,267,13.11,9.74,216,10.61,12.04,152,7.46,17.11,18.55,0.91,8.59,72,3.54,84,109,15,39,24,6,8,42.86,25,24,-1,10,13,25.02
"19","ALEX.EDLER","2010-2011","Regular","D","VAN",51,1234.2,8,13,12,25,33,21,0.39,0.63,0.58,1.22,1.6,1.02,275,13.37,2.91,191,9.29,4.19,121,5.88,6.61,6.67,0.32,3.49,12,0.58,83,130,24,25,86,0,2,0,12,4,-8,6,5,49.61
"20","ALEXEI.PONIKAROVSKY","2010-2011","Regular","L","L.A",61,769.32,5,6,4,10,15,11,0.39,0.47,0.31,0.78,1.17,0.86,162,12.63,3.09,130,10.14,3.85,94,7.33,5.32,8.04,0.63,6.18,34,2.65,139,83,27,12,28,1,4,20,16,11,-5,4,6,30.62
"21","ALEX.FROLOV","2010-2011","Regular","L","NYR",43,619.17,7,5,4,9,16,12,0.68,0.48,0.39,0.87,1.55,1.16,125,12.11,5.6,102,9.88,6.86,78,7.56,8.97,8.95,0.87,8.77,40,3.88,39,35,10,12,15,1,6,14.29,4,4,0,4,5,18.57
"22","ALEX.GIROUX","2010-2011","Regular","L","EDM",8,117.19,1,0,1,1,2,1,0.51,0,0.51,0.51,1.02,0.51,25,12.8,4,17,8.7,5.88,13,6.66,7.69,2.28,1.17,13.43,11,5.63,16,10,1,1,3,0,2,0,1,4,3,4,1,18.75
"23","ALEX.GOLIGOSKI","2010-2011","Regular","D","DAL/PIT",83,1833.65,14,13,19,32,46,27,0.46,0.43,0.62,1.05,1.51,0.88,392,12.83,3.57,244,7.98,5.74,162,5.3,8.64,9.49,0.31,3.89,21,0.69,75,106,56,14,106,0,0,NA,21,12,-9,8,7,48.11
"24","ALEX.KOVALEV","2010-2011","Regular","R","OTT/PIT",74,1219.1,16,12,6,18,34,28,0.79,0.59,0.3,0.89,1.67,1.38,304,14.96,5.26,212,10.43,7.55,151,7.43,10.6,15.26,0.75,7.2,55,2.71,14,65,66,38,8,3,7,30,17,9,-8,11,11,29.94
"25","ALEX.OVECHKIN","2010-2011","Regular","L","WSH",79,1666.74,32,30,23,53,85,62,1.15,1.08,0.83,1.91,3.06,2.23,767,27.61,4.17,520,18.72,6.15,363,13.07,8.82,31.35,1.13,6.03,102,3.67,239,153,59,48,23,6,12,33.33,22,36,14,22,27,36.03
"26","ALEX.PICARD","2010-2011","Regular","D/L","MTL",43,705.89,3,4,1,5,8,7,0.25,0.34,0.08,0.42,0.68,0.59,116,9.86,2.59,72,6.12,4.17,49,4.16,6.12,2.65,0.23,3.69,8,0.68,55,NA,28,9,59,0,0,NA,7,6,-1,4,7,47.15
"27","ALEX.PIETRANGELO","2010-2011","Regular","D","STL",79,1728.87,11,13,19,32,43,24,0.38,0.45,0.66,1.11,1.49,0.83,352,12.22,3.12,235,8.16,4.68,161,5.59,6.83,8.6,0.3,3.66,16,0.56,57,153,36,40,121,0,0,NA,8,12,4,3,12,46.04
"28","ALEX.SEMIN","2010-2011","Regular","L","WSH",65,1157.06,28,17,9,26,54,45,1.45,0.88,0.47,1.35,2.8,2.33,438,22.71,6.39,308,15.97,9.09,196,10.16,14.29,19.96,1.03,6.48,74,3.84,27,46,42,62,6,4,8,33.33,28,15,-13,14,29,34.32
"29","ALEX.STEEN","2010-2011","Regular","C","STL",72,1403.91,20,17,14,31,51,37,0.85,0.73,0.6,1.32,2.18,1.58,457,19.53,4.38,338,14.45,5.92,218,9.32,9.17,21.65,0.93,6.41,76,3.25,39,112,25,29,28,41,65,38.68,13,24,11,14,16,33.5
"30","ALEX.SULZER","2010-2011","Regular","D","FLA/NSH",40,701.21,1,3,1,4,5,4,0.09,0.26,0.09,0.34,0.43,0.34,85,7.27,1.18,56,4.79,1.79,37,3.17,2.7,1.76,0.15,3.15,3,0.26,38,48,10,8,52,1,0,100,7,6,-1,2,2,52
"31","ALEX.TANGUAY","2010-2011","Regular","L","CGY",79,1550.29,22,33,14,47,69,55,0.85,1.28,0.54,1.82,2.67,2.13,204,7.9,10.78,168,6.5,13.1,120,4.64,18.33,14.7,0.57,8.75,57,2.21,31,59,57,49,38,42,65,39.25,12,18,6,7,10,28.67
"32","ALEX.URBOM","2010-2011","Regular","D","N.J",8,100.59,1,0,0,0,1,1,0.6,0,0,0,0.6,0.6,16,9.54,6.25,12,7.16,8.33,5,2.98,20,0.27,0.16,2.21,0,0,5,7,5,1,6,0,0,NA,0,2,2,0,0,43.64
"33","ALEX.VASYUNOV","2010-2011","Regular","L","N.J",18,206.09,1,4,0,4,5,5,0.29,1.16,0,1.16,1.46,1.46,32,9.32,3.12,23,6.7,4.35,18,5.24,5.56,1.45,0.42,6.29,8,2.33,6,31,5,5,2,0,0,NA,0,1,1,0,2,31.39
"34","ANDREAS.LILJA","2010-2011","Regular","D","ANA",52,903.47,1,1,5,6,7,2,0.07,0.07,0.33,0.4,0.46,0.13,60,3.98,1.67,44,2.92,2.27,31,2.06,3.23,1.33,0.09,3.02,2,0.13,92,44,20,6,113,0,0,NA,14,3,-11,0,2,47.34
"35","ANDREAS.NODL","2010-2011","Regular","R","PHI",67,888.07,11,7,4,11,22,18,0.74,0.47,0.27,0.74,1.49,1.22,151,10.2,7.28,126,8.51,8.73,100,6.76,11,11.95,0.81,9.48,45,3.04,111,67,29,21,25,11,8,57.89,8,12,4,12,6,27.01
"36","ANDRE.BENOIT","2010-2011","Regular","D","OTT",8,134.36,0,1,0,1,1,1,0,0.45,0,0.45,0.45,0.45,27,12.06,0,21,9.38,0,17,7.59,0,0.48,0.22,2.29,0,0,5,8,3,3,12,0,0,NA,3,1,-2,1,0,49.55
"37","ANDREI.KOSTITSYN","2010-2011","Regular","L","MTL",81,1284.15,20,17,8,25,45,37,0.93,0.79,0.37,1.17,2.1,1.73,363,16.96,5.51,274,12.8,7.3,196,9.16,10.2,19.22,0.9,7.01,70,3.27,140,101,38,23,26,0,2,0,19,7,-12,12,19,29.75
"38","ANDREI.LOKTIONOV","2010-2011","Regular","C","L.A",19,280.29,4,3,0,3,7,7,0.86,0.64,0,0.64,1.5,1.5,54,11.56,7.41,42,8.99,9.52,26,5.57,15.38,2.74,0.59,6.54,9,1.93,6,22,9,10,8,23,32,41.82,1,1,0,2,2,29.71
"39","ANDREI.MARKOV","2010-2011","Regular","D","MTL",7,160.41,1,1,1,2,3,2,0.37,0.37,0.37,0.75,1.12,0.75,37,13.84,2.7,29,10.85,3.45,20,7.48,5,1.07,0.4,3.69,2,0.75,2,7,9,3,5,0,0,NA,2,1,-1,1,0,47.03
"40","ANDREJ.MESZAROS","2010-2011","Regular","D","PHI",81,1707.64,8,14,10,24,32,22,0.28,0.49,0.35,0.84,1.12,0.77,314,11.03,2.55,204,7.17,3.92,144,5.06,5.56,7.47,0.26,3.66,17,0.6,189,107,40,34,139,0,0,NA,20,3,-17,3,8,46.92
"41","ANDREJ.SEKERA","2010-2011","Regular","D","BUF",76,1599.17,3,10,16,26,29,13,0.11,0.38,0.6,0.98,1.09,0.49,228,8.55,1.32,136,5.1,2.21,88,3.3,3.41,4.76,0.18,3.5,12,0.45,61,145,51,38,85,0,0,NA,11,12,1,3,6,46.93
"42","ANDREW.ALBERTS","2010-2011","Regular","D","VAN",42,636.21,1,4,2,6,7,5,0.09,0.38,0.19,0.57,0.66,0.47,53,5,1.89,28,2.64,3.57,21,1.98,4.76,0.66,0.06,2.34,1,0.09,113,67,19,7,49,0,0,NA,18,6,-12,1,1,52.53
"43","ANDREW.BRUNETTE","2010-2011","Regular","L","MIN",82,1370.64,18,19,9,28,46,37,0.79,0.83,0.39,1.23,2.01,1.62,154,6.74,11.69,141,6.17,12.77,117,5.12,15.38,15.66,0.69,11.11,67,2.93,27,72,29,18,31,7,11,38.89,9,15,6,21,2,19.95
"44","ANDREW.COGLIANO","2010-2011","Regular","C","EDM",82,1414.1,11,20,4,24,35,31,0.47,0.85,0.17,1.02,1.49,1.32,234,9.93,4.7,173,7.34,6.36,129,5.47,8.53,14.58,0.62,8.43,60,2.55,89,44,46,32,46,461,647,41.61,19,14,-5,8,20,27.16
"45","ANDREW.DESJARDINS","2010-2011","Regular","C","S.J",17,121.36,1,1,1,2,3,2,0.49,0.49,0.49,0.99,1.48,0.99,23,11.37,4.35,15,7.42,6.67,12,5.93,8.33,0.84,0.41,5.59,2,0.99,34,20,1,6,5,31,25,55.36,2,0,-2,0,0,30.15
"46","ANDREW.EBBETT","2010-2011","Regular","C","ARI",33,330.52,2,1,2,3,5,3,0.36,0.18,0.36,0.54,0.91,0.54,45,8.17,4.44,32,5.81,6.25,23,4.18,8.7,2.95,0.54,9.23,13,2.36,13,34,5,8,12,104,125,45.41,2,4,2,2,4,27.98
"47","ANDREW.FERENCE","2010-2011","Regular","D","BOS",70,1254.33,3,2,10,12,15,5,0.14,0.1,0.48,0.57,0.72,0.24,179,8.56,1.68,112,5.36,2.68,78,3.73,3.85,2.8,0.13,2.5,4,0.19,74,126,28,4,82,0,0,NA,12,11,-1,4,5,52.56
"48","ANDREW.GORDON","2010-2011","Regular","R","WSH",9,78.03,1,1,0,1,2,2,0.77,0.77,0,0.77,1.54,1.54,17,13.07,5.88,12,9.23,8.33,5,3.84,20,0.99,0.76,8.29,4,3.08,5,10,2,0,4,0,0,NA,0,1,1,1,0,25.88
"49","ANDREW.HUTCHINSON","2010-2011","Regular","D","PIT",5,76.49,0,0,1,1,1,0,0,0,0.78,0.78,0.78,0,10,7.84,0,6,4.71,0,2,1.57,0,0.12,0.1,2.06,0,0,0,5,1,0,8,0,0,NA,3,0,-3,0,0,45.35
"50","ANDREW.LADD","2010-2011","Regular","L","ATL",81,1613.76,29,16,14,30,59,45,1.08,0.59,0.52,1.12,2.19,1.67,336,12.49,8.63,259,9.63,11.2,195,7.25,14.87,23.07,0.86,8.91,91,3.38,68,108,44,61,45,15,29,34.09,17,12,-5,19,21,28
