"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"669","RYAN.SMYTH","2013-2014","Regular","L","EDM",72,1107.23,10,6,7,13,23,16,0.54,0.33,0.38,0.7,1.25,0.87,202,10.95,4.95,175,9.48,5.71,129,6.99,7.75,16.09,0.87,9.2,59,3.2,58,80,35,27,29,91,91,50,22,13,-9,9,17,21.71
"670","RYAN.SPOONER","2013-2014","Regular","C","BOS",23,294.54,0,4,7,11,11,4,0,0.81,1.43,2.24,2.24,0.81,64,13.04,0,54,11,0,42,8.56,0,2.5,0.51,4.64,4,0.81,10,18,3,8,6,59,86,40.69,3,3,0,2,0,33.43
"671","RYAN.STANTON","2013-2014","Regular","D","VAN",64,938.61,1,5,10,15,16,6,0.06,0.32,0.64,0.96,1.02,0.38,147,9.4,0.68,95,6.07,1.05,65,4.16,1.54,2.27,0.15,2.39,4,0.26,97,146,21,20,81,1,0,100,13,4,-9,3,4,53.76
"672","RYAN.STROME","2013-2014","Regular","C","NYI",37,558.48,7,5,6,11,18,12,0.75,0.54,0.64,1.18,1.93,1.29,137,14.72,5.11,109,11.71,6.42,89,9.56,7.87,7.56,0.81,6.93,29,3.12,29,25,22,21,8,165,209,44.12,4,3,-1,1,4,25.93
"673","RYAN.SUTER","2013-2014","Regular","D","MIN",82,2400.85,8,12,23,35,43,20,0.2,0.3,0.57,0.87,1.07,0.5,342,8.55,2.34,221,5.52,3.62,150,3.75,5.33,8.06,0.2,3.65,13,0.32,72,53,41,30,132,1,0,100,17,6,-11,6,9,45.81
"674","RYAN.WHITE","2013-2014","Regular","C","MTL",52,503.51,2,2,1,3,5,4,0.24,0.24,0.12,0.36,0.6,0.48,80,9.53,2.5,60,7.15,3.33,51,6.08,3.92,3.65,0.44,6.09,15,1.79,88,63,7,10,37,197,191,50.77,14,7,-7,2,8,31.56
"675","RYAN.WHITNEY","2013-2014","Regular","D","FLA",7,117.83,0,0,0,0,0,0,0,0,0,0,0,0,16,8.15,0,10,5.09,0,8,4.07,0,0.26,0.13,2.57,0,0,4,17,2,0,10,0,0,NA,3,0,-3,0,0,53.56
"676","RYAN.WILSON","2013-2014","Regular","D","COL",28,408.27,0,2,4,6,6,2,0,0.29,0.59,0.88,0.88,0.29,49,7.2,0,28,4.11,0,23,3.38,0,0.95,0.14,3.39,1,0.15,53,27,9,5,17,0,1,0,6,6,0,1,2,44.05
"677","SAKU.KOIVU","2013-2014","Regular","C","ANA",65,977.8,11,8,10,18,29,19,0.67,0.49,0.61,1.1,1.78,1.17,129,7.92,8.53,105,6.44,10.48,81,4.97,13.58,9.16,0.56,8.73,38,2.33,29,38,34,25,30,538,529,50.42,23,11,-12,7,10,24.27
"678","SAM.GAGNER","2013-2014","Regular","C","EDM",67,1227.73,10,16,11,27,37,26,0.49,0.78,0.54,1.32,1.81,1.27,252,12.32,3.97,202,9.87,4.95,143,6.99,6.99,13.04,0.64,6.45,46,2.25,33,71,47,28,34,451,512,46.83,13,4,-9,7,16,29.07
"679","SAMI.SALO","2013-2014","Regular","D","T.B",71,1286.66,4,6,7,13,17,10,0.19,0.28,0.33,0.61,0.79,0.47,179,8.35,2.23,128,5.97,3.12,81,3.78,4.94,4.02,0.19,3.14,3,0.14,57,46,20,17,66,0,0,NA,9,3,-6,3,6,48.24
