"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.GAGNON","2011-2012","Regular","C","WPG",7,66.14,0,0,0,0,0,0,0,0,0,0,0,0,12,10.89,0,9,8.16,0,6,5.44,0,0.72,0.65,8,3,2.72,1,7,0,1,4,18,22,45,0,0,0,0,2,26.46
"2","AARON.JOHNSON","2011-2012","Regular","D","CBJ",56,921.72,3,6,7,13,16,9,0.2,0.39,0.46,0.85,1.04,0.59,118,7.68,2.54,89,5.79,3.37,63,4.1,4.76,3.43,0.22,3.85,5,0.33,99,93,21,17,72,0,0,NA,8,9,1,4,2,44.2
"3","AARON.NESS","2011-2012","Regular","D","NYI",9,152.27,0,0,0,0,0,0,0,0,0,0,0,0,18,7.09,0,13,5.12,0,6,2.36,0,0.45,0.18,3.47,1,0.39,2,14,3,2,17,0,0,NA,1,0,-1,0,1,45.39
"4","AARON.PALUSHAJ","2011-2012","Regular","R","MTL",38,287.29,1,1,3,4,5,2,0.21,0.21,0.63,0.84,1.04,0.42,70,14.62,1.43,51,10.65,1.96,37,7.73,2.7,2.29,0.48,4.48,5,1.04,28,50,5,9,11,0,4,0,7,9,2,1,2,29
"5","AARON.ROME","2011-2012","Regular","D","VAN",43,654.39,4,3,3,6,10,7,0.37,0.28,0.28,0.55,0.92,0.64,105,9.63,3.81,70,6.42,5.71,42,3.85,9.52,1.93,0.18,2.76,2,0.18,64,80,13,4,62,0,0,NA,15,4,-11,0,5,48.54
"6","AARON.VOLPATTI","2011-2012","Regular","L","VAN",23,206.17,1,0,0,0,1,1,0.29,0,0,0,0.29,0.29,35,10.19,2.86,23,6.69,4.35,17,4.95,5.88,1.34,0.39,5.84,3,0.87,61,38,4,1,8,4,0,100,11,4,-7,2,1,33.69
"7","ADAM.BURISH","2011-2012","Regular","R","DAL",65,830.67,6,7,6,13,19,13,0.43,0.51,0.43,0.94,1.37,0.94,140,10.11,4.29,113,8.16,5.31,82,5.92,7.32,7.91,0.57,7,32,2.31,69,79,13,17,36,217,172,55.78,15,12,-3,3,2,27.85
"8","ADAM.HALL","2011-2012","Regular","R","T.B",57,674.25,2,4,1,5,7,6,0.18,0.36,0.09,0.44,0.62,0.53,89,7.92,2.25,81,7.21,2.47,63,5.61,3.17,5.76,0.51,7.11,22,1.96,89,40,6,12,30,276,188,59.48,7,10,3,3,4,24.24
"9","ADAM.HENRIQUE","2011-2012","Regular","C","N.J",74,1342.65,16,18,17,35,51,34,0.72,0.8,0.76,1.56,2.28,1.52,189,8.45,8.47,164,7.33,9.76,130,5.81,12.31,15.45,0.69,9.42,65,2.9,83,61,25,49,57,501,525,48.83,2,9,7,8,11,20.73
"10","ADAM.LARSSON","2011-2012","Regular","D","N.J",65,1334.8,2,8,8,16,18,10,0.09,0.36,0.36,0.72,0.81,0.45,153,6.88,1.31,93,4.18,2.15,68,3.06,2.94,2.59,0.12,2.78,2,0.09,94,106,44,12,67,0,0,NA,10,5,-5,3,2,47.71
"11","ADAM.MCQUAID","2011-2012","Regular","D","BOS",72,1075.93,2,2,6,8,10,4,0.11,0.11,0.33,0.45,0.56,0.22,157,8.76,1.27,89,4.96,2.25,63,3.51,3.17,1.59,0.09,1.79,1,0.06,104,107,18,9,101,0,0,NA,21,9,-12,2,1,54.24
"12","ADAM.PARDY","2011-2012","Regular","D","DAL",36,591.64,0,0,3,3,3,0,0,0,0.3,0.3,0.3,0,56,5.68,0,37,3.75,0,29,2.94,0,0.96,0.1,2.6,1,0.1,39,74,9,9,49,0,0,NA,8,6,-2,0,1,51.18
"13","ADRIAN.AUCOIN","2011-2012","Regular","D","ARI",64,1294.53,2,0,7,7,9,2,0.09,0,0.32,0.32,0.42,0.09,201,9.32,1,141,6.54,1.42,92,4.26,2.17,3.26,0.15,2.31,2,0.09,97,26,17,26,67,0,0,NA,22,7,-15,3,6,52.92
"14","ALEC.MARTINEZ","2011-2012","Regular","D","L.A",51,748.75,6,5,1,6,12,11,0.48,0.4,0.08,0.48,0.96,0.88,166,13.3,3.61,107,8.57,5.61,78,6.25,7.69,4.97,0.4,4.64,10,0.8,51,81,11,1,48,0,1,0,4,5,1,7,4,41.65
"15","ALES.HEMSKY","2011-2012","Regular","R","EDM",69,1211.56,10,13,13,26,36,23,0.5,0.64,0.64,1.29,1.78,1.14,256,12.68,3.91,186,9.21,5.38,137,6.78,7.3,14.56,0.72,7.83,48,2.38,22,115,55,37,21,2,4,33.33,17,12,-5,4,11,27.35
